,0.0,0.025,0.05,0.1,0.5
0,0.098296645223015,0.10399308130636668,0.09731465568657509,0.09942276759149117,0.10820752090449325
1,0.10648435662145782,0.08669087312560471,0.08304150657629145,0.09327265082770979,0.1028256041722723
2,0.07879485164060852,0.07556480218564471,0.0869400911373909,0.08343368533921673,0.06886858812064127
3,0.0830098940364091,0.06504125290093044,0.07096459005088555,0.08065678593639025,0.07772496105481269
4,0.08883550301251197,0.10430843257917113,0.10109868242052857,0.09541402213522748,0.10088569031159215
5,0.1076368711168436,0.08497019831293633,0.09792244012478134,0.0989859706871417,0.08443192042840016
6,0.0783052593558384,0.07944081531988226,0.07503799397017705,0.07422379131815182,0.07338424614149038
7,0.08377580039437584,0.09456792743880055,0.08445671948525346,0.08863079514194179,0.0786682035613504
8,0.10116992949755776,0.10008147150870393,0.08932078070765456,0.09500794889256059,0.16283814196901447
9,0.08982455087149648,0.09744928816211824,0.09301950245292646,0.08191292897968389,0.09139869104955252
