,0
0,0.14597939687796846
1,0.12669558731648345
2,0.13781721154293827
3,0.12224711643335212
4,0.11805724360273309
5,0.13308611022870903
6,0.15360066527822366
7,0.1215453976362918
8,0.11644123369689714
9,0.15443397453940866
10,0.11750213399942665
11,0.15451718420274127
12,0.1552904147581113
13,0.16175806288360264
14,0.14813728361888281
15,0.15392776595722368
16,0.15820359679304652
17,0.1385356266337341
18,0.1261877421935677
19,0.1559286455371807
20,0.15879290933168005
21,0.16004139632826594
22,0.15910700208351283
23,0.13881900297384178
24,0.14295828932711688
25,0.12215020236154045
26,0.12366925541555622
27,0.1366772922524972
28,0.12729662430556934
29,0.14943971878527848
