,0
0,0.11036805194403837
1,0.12719701679409398
2,0.11791337584607671
3,0.12027469939515062
4,0.14933118883338506
5,0.1233748923180574
6,0.12602980485517457
7,0.11449606888126233
8,0.1136976173978547
9,0.11993786032886647
10,0.10575398835447018
11,0.11933260485066192
12,0.12838460717469868
13,0.13072168530363232
14,0.1326604660434755
15,0.12103639567086741
16,0.118837681602412
17,0.11857551409752749
18,0.11810454232637553
19,0.11794728497937473
20,0.1294546453502486
21,0.11019155089535726
22,0.10967217466184842
23,0.11237208839878157
24,0.12426144756525717
25,0.12342909130109636
26,0.12749431936695432
27,0.1372996274582849
28,0.13187524240974235
29,0.11905220420149794
