,0
0,0.10705598330591654
1,0.10203016151626113
2,0.1126702663119268
3,0.08770410004512158
4,0.10752578819072553
5,0.10575706656160033
6,0.1335802729873195
7,0.145500898952587
8,0.0950236200719888
9,0.11015910953963541
10,0.1033264112721373
11,0.12222792745831028
12,0.12959594272777858
13,0.10972506337253485
14,0.10683832588787812
15,0.11134074656528796
16,0.12609058596156042
17,0.10460528335173289
18,0.11665283932860607
19,0.08777692445546555
20,0.11275216662473714
21,0.09662575012344927
22,0.10201805743149489
23,0.10799020121356044
24,0.11193486858275352
25,0.1022831005306203
26,0.09742300714921152
27,0.10222563557294169
28,0.14038718153009433
29,0.1058481596383827
