,0
0,0.2106077782680022
1,0.23406517826464515
2,0.22013655588999664
3,0.23436770043323507
4,0.20997865804764224
5,0.22104254678253843
6,0.24909202168376987
7,0.2348394949444803
8,0.25537293403284045
9,0.20085696508663367
10,0.20590708435249916
11,0.22427374864833857
12,0.22827604143158325
13,0.21766298763089906
14,0.18592595585967164
15,0.21112693714861983
16,0.2107496527446478
17,0.19118626904193547
18,0.21003226741448877
19,0.17693070127899063
20,0.217262677336589
21,0.19529900738309564
22,0.21491123228045217
23,0.1997603866645693
24,0.22126996746805805
25,0.24153596989174603
26,0.20595758691593982
27,0.2763922755724957
28,0.25758199327927284
29,0.19220854275217866
